case_id,finding_id,perspective,ai_severity,ai_issue,evidence,ai_cross_decision,ai_cross_reason,ai_cross_correction,reviewer,decision,human_severity,legal_source,correction,notes
P01,P01-A-001,"['法务', '合规']",high,第一条三类期限共用试用期栏，缺少适用条件分支。,（ 三 ） 以 完 成 工 作 任 务 为 期 限 。 | 其中试用期自     年  月  日起至     年  月  日止,,,,,,,,,
P01,P01-A-002,"['业务', '法务', '语言']",medium,不胜任调岗与岗位变更协商签署条款衔接不明。,"第五条  甲方按工作标准，经 考核考评确认乙方不胜任本岗位工
作，可以调整乙方工作岗位。 | 第三十八条  劳动合同约定的工作地点、岗位、工资等内容发生变
更的，经甲乙双方协商一致",,,,,,,,,
P01,P01-A-003,"['财务', '合规']",high,加班工资与补休并列表述可能被理解为任意替代，且未单列法定休假日。,"第二十条 甲方安排乙方延长工作时间或者在休息日工作的， 按照
国家相关规定向乙方支付加班工资或者依法安排乙方补休。 | 经政府行政部
门批准，可以实行综合计算工时或不定时工时制",,,,,,,,,
P01,P01-A-004,"['争议', '财务']",high,紧急联系人在笼统联系障碍下获得和解及收款等全权代理。,"乙方同意，在其处于联系障碍状态（包括但不限于疾
病、 发生意外事故、 丧失人身自由等情况） 时 | 权代理处理本合同项下所涉一切问题的权限，包括但不限于与甲方进行
协商谈判、和解、代为收付有关款项及代为收发有关文书等权限。",,,,,,,,,
P01,P01-A-005,"['争议', '语言']",medium,退件或拒收一律视为送达，未区分未通知改址与寄送错误等退件原因。,"如乙方变更地址的，应及时书面通知甲方。未能通
知的， 甲方可按原地址送达。 送达后如发生退件或拒收， 视为已经送达。",,,,,,,,,
P01,P01-A-006,"['财务', '业务']",medium,经济效益调整工资的概括授权与后文协商程序需要衔接。,"第十二条  甲方应建立正常的工资调整机制，根据经济效益情况调
整乙方工资。 | 经平等协商、达成一致，公示或告知乙方后进行调整。",,,,,,,,,
P02,P02-A-001,"['合规', '业务', '财务']",high,无异议视为验收通过与正式履约验收、付款衔接不清。,"1.4 甲方应当按照合同约定及时对交付的货物进行验收，未
在代理填写日内对乙方履约提出任何异议或者向乙方作出任何
说明的，视为验收通过。 | 各期支付条件应与分期履约验收情况挂钩",,,,,,,,,
P02,P02-A-002,"['财务', '法务']",high,任意违约即不退履约保证金，与扣除赔偿及追加责任并行，结算规则不清。,"10.2 如果乙方出现违反合同约定情形的，履约保证金不予
退还；如果乙方未能按合同约定全面履行义务，甲方有权从履约
保证金中取得补偿或赔偿 | 甲方有权从货款中扣除误期赔偿费而不影响合同项下的其他
补救方法",,,,,,,,,
P02,P02-A-003,"['业务', '财务']",medium,寿命期性能保证与质量保证期免费维修的责任边界不明。,"件下，在其使用寿命期内具备合同约定的性能。 | （3）乙方收到通知后，应在代理填写内免费维修或更换有
缺陷的货物或部件。 | 11.2 乙方提供的售后服务的费用已包含在合同价款中，甲
方不再另行支付。",,,,,,,,,
P02,P02-A-004,"['争议', '语言']",medium,仲裁与诉讼并列，仲裁机构仅以甲方所在地表述。,"可以通过仲裁或诉讼的方式解决
争议。 | 16.2 选择仲裁的，应通过甲方所在地的仲裁机构；通过诉
讼方式解决的，应通过甲所所在地具有管辖权的人民法院。",,,,,,,,,
P02,P02-A-005,"['争议', '业务']",medium,通知允许数据电文与要求传真/快递签收两套渠道未衔接。,"18.1 本合同任何一方向对方发出的通知、信件、数据电文
等 | 18.3 本合同一方给另一方的通知均应采用书面形式，传真
或快递送到本合同中规定的对方的地址和办理签收手续。",,,,,,,,,
P02,P02-A-006,"['法务', '语言']",medium,可另填生效条件与固定盖章生效句并存。,"6.合同生效
本合同自 代理填写 生效。 | 本合同自甲乙双方加盖公章之日起生效。",,,,,,,,,
P04,P04-A-001,"['法务', '财务', '语言']",high,缺陷责任期定义与专门条款使用不同起算日期。,"期限，自工程实际竣工日期起计算。 | 15.2.1 缺陷责任期从工程通过竣工验收之日起计算 | 工程经竣工验收合格的，以承包人提交竣工验收申请报告之
日为实际竣工日期",support,定义与15.2.1的通常起算确有文字差异；13.2.3允许申请日作为实际竣工日，因此不是纯同义表达。但15.2.1已详细规定迟延、擅用、单位工程分支，原报告建议应引用这些既存规则而非表现为需要从零建立。,保留起算规则对齐问题；列出15.2.1既有分支并与定义统一，不声称文本完全没有异常情形规则。法律适用尚未独立核验。,,,,,,
